"categories","descriptions","phone_number","source","titles"
"1x Немой звонок;1x Колл-центр","отрицательно",79294347795,"neberitrubku.ru","Колл-центр;Немой звонок"
"1x Немой звонок;1x Нежелательный звонок","Кто-то звонил, когда я не мог брать трубку, в последствии перезванивать не стал, попробовал в интернете счастья, но ничего там не нашёл, возможно здесь кто-нибудь знающий есть?",79299041246,"neberitrubku.ru","Немой звонок;Нежелательный звонок"
"10x Сборщик задолженностей;3x Колл-центр;1x Сервис;1x Телефонное хулиганство;1x Злонамеренный вызов","dfhkjx, nkgz. nmgz cbngx bnml;dfhkjx, nkgz. nmgz cbngx bnml;достали они;И опять же мюээлмтю;пошли вы все козе в трещину;сборщик хренов;сопровождения;мба финанс;мба финанс;коллекторы;мба сборщик задолжностей;коллекторы;коллекторы;Oбьeбанк (Зaeбанк, Уeбанк) и калы;мба финанс;не брать;Коллекторы;коллектора мба",79803079221,"neberitrubku.ru","Сборщик задолженностей;Нежелательный звонок;Сборщик задолженностей;Злонамеренный вызов;Телефонное хулиганство;каллы (Сборщик задолженностей);Сборщик задолженностей;Сборщик задолженностей;Сервис;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Колл-центр;Сборщик задолженностей;Колл-центр;Колл-центр;Сборщик задолженностей;Сборщик задолженностей"
"3x Злонамеренный вызов;2x Сборщик задолженностей;1x Колл-центр","автокаллоинформатор;АВТОИНФОРМАТОР  Займер - KONGA.ru;частые звонки;АВТОИНФОРМАТОР  Займер - KONGA.ru;коллектор;коллекторы;Звонят по кредиту чужого не известного человека, по 6 раз в день;каллы какие то;финколлект;вымогатели;Сборщик задолженности;калллллыыыы;звонит постоянно;мошенники прозванивание;финколлект",74993489682,"neberitrubku.ru","Немой звонок;Злонамеренный вызов;Сборщик задолженностей;Другое;Сборщик задолженностей;Другое;Сборщик задолженностей;Задолбали звонить по задолженности чужого человека! (Автомат);коллекторы (Сборщик задолженностей);Немой звонок;Сборщик задолженностей;Колл-центр;Компания Кредиторы (Автомат);Злонамеренный вызов;Злонамеренный вызов;Злонамеренный вызов;Сборщик задолженностей;Злонамеренный вызов;Злонамеренный вызов;Злонамеренный вызов;Колл-центр"
"4x Телефонное мошенничество;1x Финансовые услуги","диагностика пластиковых окон. мошенники. смотрите ролики в интернете.;банк сбор финансы;Предлагают бесплатную диагностику и смазку пластиковых окон, которые установлены более 2-х лет. То, что мошенничество - факт, так как в интернете полно подобных историй.;девушка сказала, что она из сервиса по обслуживанию окон и  поинтересовалась есть у меня в квартире окна или двери старше двух лет не на гарантии. с какой целью она интересовалась не уточнил, сказал, что в каких-либо услугах не нуждаюсь;Мошенничество с окнами",79242935107,"neberitrubku.ru","Телефонное мошенничество;Финансовые услуги;Окна (Телефонное мошенничество);Телефонное мошенничество;Телефонное мошенничество"
"1x Финансовые услуги;1x Злонамеренный вызов;1x Сборщик задолженностей","мкб колекторы денег хотят;коллектор;коллекторы;сборщик задрлжностей",74956407254,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей;МКБ (Сборщик задолженностей);Сборщик задолженностей;Злонамеренный вызов;Финансовые услуги"
"1x Злонамеренный вызов","мошенники",79283510979,"neberitrubku.ru","Злонамеренный вызов"
"1x Сервис","автоответчик Ростелеком",73843320116,"neberitrubku.ru","Сервис"
"3x Сборщик задолженностей","кал деньги;коллекторы Константа;сборщики чужих задолженностей;Коллектор",78126702173,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей"
"2x Сборщик задолженностей;1x Злонамеренный вызов;1x Колл-центр;1x Нежелательный звонок","денег хотят;чтобы было недоступен мой номер;ООО СКК Содействие (коллекторы Банк Уралсиб);уралсиб кредитные просрочки долги;Уралсиб банк;софт УРАЛСИБ",79177770854,"neberitrubku.ru","Нежелательный звонок;Нежелательный звонок;Колл-центр;Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов"
"1x Компания","фарфор доставка",73512161555,"neberitrubku.ru","Компания"
"1x Сборщик задолженностей;1x Финансовые услуги;1x Нежелательный звонок","не брать сборщик долгов;сборщик чужих долгов;чужой долг;деньга петухи;компания деньга;автоответчик;коллекторы Константа пи;козлыыыыыыы;Знакомая  влезла в кредит",78126707827,"neberitrubku.ru","Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Финансовые услуги;Сборщик задолженностей;Сборщик задолженностей;Нежелательный звонок;Финансовые услуги;Сборщик задолженностей"
"3x Компания","предлагали СПА процедуры;Позвонили,что я выиграла бесплатное посещение  СПА,обращались по имени,нигде не участвовала...;говорят, что вы выиграли бесплатное посещение какого-то косметического салона. это при том, что вы и не пытались что-то выиграть!",79051229585,"neberitrubku.ru","Компания;Компания;Компания"
"2x Сборщик задолженностей;1x Телефонное мошенничество","просит продиктовать номер карты и снимает с нее деньги. Будьте бдительны!;звонят с банка;прозвон номеров",79609077966,"neberitrubku.ru","Телефонное мошенничество;Сборщик задолженностей;Сборщик задолженностей"
"2x Сборщик задолженностей;1x Финансовые услуги","звонят не по делу;халява карта в банке",79039319036,"neberitrubku.ru","Коллекторы (Сборщик задолженностей);Сборщик задолженностей;Финансовые услуги"
"1x Сервис","согаз подтверждение записи на приём к врачу",78123259911,"neberitrubku.ru","Сервис"
"1x Колл-центр","хоум Кредит банк;хоум кредит",79035035929,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей;Колл-центр"
"1x Телемаркетер","косметика бесплатно",79292729101,"neberitrubku.ru","Телемаркетер"
"7x Немой звонок;2x Соцопрос;1x Сборщик задолженностей;1x Другое","плохой контакт;10 минут одних и тех же вопросов,с последующей оценкой по 10-ти больной шкале!;Коллекторы Банков ВТБ и Банка Москвы;соцопрос;Позаонили на мобильный. Сразу взяла трубку. Не долгое молчание и бросили трубку;Позвонили, сразу взяла трубку. Послушала тишину и сбросила.;Позвонили. Ответила. Сразу кинули трубку.;Позвонили. Молчат.;Соцопрос;Прослушала их голосовое сообщение, на звонок не успела ответить. Представились психологической службой, попросили ответить на несколько вопросов. 
Однако в интернете это номер интернет-магазина обуви.

Вывод: в топку, не отвечайте.;Как ни искал в интернете, ничего об этом номере не нашёл, похоже там никто ничего не знает о нём, может быть здесь кто-нибудь подскажет чей это номер?!",74956431109,"neberitrubku.ru","Злонамеренный вызов;Немой звонок;Соцопрос о мобильной связи! (Соцопрос);Немой звонок;Немой звонок;Немой звонок;Сборщик задолженностей;Немой звонок;Соцопрос;84956431109 (Немой звонок);Немой звонок;Немой звонок (Немой звонок);Немой звонок;Немой звонок;Немой звонок;Соцопрос;Другое"
"1x Сервис;1x Нежелательный звонок;1x Телефонное хулиганство","Компания типа Дэшали. Разводят людей на кредит для ""лечения"".;Нахамили и сбросили звонок;Диагностика всего организма;мед.диагностика",79221488213,"neberitrubku.ru","Центр ""диагностики"" (Компания);Телефонное хулиганство;Дурь предлагают (Нежелательный звонок);Сервис"
"1x Нежелательный звонок","компания Снабженец, берем тряпки разные, перчатки для организации;звонят типа не туда попали",74997097455,"neberitrubku.ru","Некоммерческая организация;Нежелательный звонок"
"1x Финансовые услуги","Райффайзен Банк Липецк",74742252650,"neberitrubku.ru","Финансовые услуги"
"68x Сборщик задолженностей;21x Злонамеренный вызов;14x Колл-центр;3x Финансовые услуги;3x Нежелательный звонок;2x Телефонное мошенничество;1x Факс-машина;1x Немой звонок","Замучили звонками . выпытывают дату рождения;не знаю кто;не известно;примоколлект ****;никто не отвечает;примакалы. посылайте;примколлект;Коллекторы;сборщик чужой задолженности;звонят постоянно;коллектор.  не берите трубки.;примколектор;сборщик задолженности;долбят работодателей должника;долбят работодателей должника;каллы какие-то;сборщик задолженности Кеф;примоколлект по поводу задолженности в мфо турбозайм;звонят раз в день и сбрасывают;какой-то попрошайка скорее всего, не предсьпвился;коллектора припа коллект или кредит финанс;Угрожают физической расправой и вреду здоровью близких.С данный номер иногда звонят ООО ""Кредит экспресс финансы"" Нет ни каких моральных ценностей. Одним словом попрошайки и вымогатели.;Звонила девушка, выпытывала личные данные. Послал лесом.;сборщик задолженностей;коллекторы;Звонят каждый день, как правило вечером, иногда два раза в день, не разговариваю с ними, сбрасываю.",74957348103,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Немой звонок;Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов;Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов;примоколлект (Сборщик задолженностей);Сборщик задолженностей;Сборщик задолженностей;Телефонное мошенничество;Нежелательный звонок;Примаколлект (Сборщик задолженностей);Какие-то левые коллекторы... в черный список) (Сборщик задолженностей);Коллекторы (Сборщик задолженностей);Злонамеренный вызов;коллекторы (Сборщик задолженностей);Сборщик задолженностей;Коллекторы. (Сборщик задолженностей)"
"68x Сборщик задолженностей;21x Злонамеренный вызов;14x Колл-центр;3x Финансовые услуги;3x Нежелательный звонок;2x Телефонное мошенничество;1x Факс-машина;1x Немой звонок","Коллектор. В соответствии с  п. 9 ст. 7 Федерального закона # 230-ФЗ от 03.07.2016 года. можно послать. не имеют права звонить с левых телефонов.;Что то пытаются с меня спросить;коллекторы Примоколлект;очень не справедливые люди;коллекторы;коллекторы - примаколлект;Слать их на три буквы в середине У, т.е.в СУД окуела однако!;Пытался объяснить, что кретит ни у кого не брал - как об стенку горох. Если трубку не брать, будут звонить ещё. Если взять и помолчать 5 секунд и сбросить вызов, 3 дня звонков не будет. Видимо, знают, что номер отпечатался в статистике оператора связи. А дальше - закон.;коллекторы феникс;Постоянно звонят одно и то же твердят;про@лядям коллекторским бесполезно  объяснять, что всё будет только в судебном порядке.;срочно деньги мфо;коллекторы;коллекторы;гадкий коллектор;коллекторы;коллекторы;коллекторы;кредиторы балуются узнают что адвокат  извиняются трубочку кладут;Звонят якобы по долгам неизвестных людей и угрозами пытаются заставить выплатить какие-то космические суммы непонятно за кого;я бросил трубу;Буданова Анастасия Валерьевна, кредитный инспектор компании ООО ""Примоколлект"".
Звонок по долгу неизвестного мне человека, который указал мой номер в качестве второго контактного.;Коллекторы;коллекторы;хотят денег;коллекторы;коллекторы  примколект;приват банк;Примоколлект, звонят ищут незнакомого мне человека,блок.;примоколлект. любители страшилки почтой присылать. почему-то осьминог его не блокирует",74957348103,"neberitrubku.ru","Сборщик задолженностей;Колектора, нищеброды (Сборщик задолженностей);Злонамеренный вызов;Злонамеренный вызов;Злонамеренный вызов;Сборщик задолженностей;Приманки украинские (Колл-центр);Примоколлект. (Сборщик задолженностей);Сборщик задолженностей;закалибали (Сборщик задолженностей);Злонамеренный вызов;Сборщик задолженностей;Злонамеренный вызов;ПРИМА! Мучают звонками. ищут какую-то Зину. Орут.Грубят (Сборщик задолженностей);Злонамеренный вызов;Немой звонок;Колл-центр;Сборщик задолженностей;кредит финанс (Колл-центр);Мошенники (Телефонное мошенничество);примцентр (Колл-центр);Примоколлект (Сборщик задолженностей);Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей;Колл-центр;Злонамеренный вызов"
"68x Сборщик задолженностей;21x Злонамеренный вызов;14x Колл-центр;3x Финансовые услуги;3x Нежелательный звонок;2x Телефонное мошенничество;1x Факс-машина;1x Немой звонок","Звонит ПРИМОКОЛЕКТ;не брать трубку;примоколлект;непонятно кто, болтают между собой;не брать трубку;коллекторы мфо;кого-то искали;коллектор прима;коллекторы долги;банк сбор финансы;коллекторы;коллекторы;лол не брать;у меня долг в е-заем, причем просрочка более 50 дней. общаются вежливо. не грубят;банк......;Постоянные прозвоны;Примаколлект;примоколлект;коллекторы;долгосборщик;**** названивают ищут кого-то, не понимают, что ошиблись. видимо поймут, когда в центральный офис сраной шараги придет толпа с бейсбольными битами рыла крошить. ****, я за вами приду.;Примоколлект;Коллекторы гнуссы;Каллы;каллы примоколлект, звонят не с фиксированного (стационарного) номера телефона, нарушая ФЗ - 230 от 03.07.2016 г. (ст.7 п.9). (посылайте их в сад);Примакаллы;**** примоколлект;примоколлект;примоколлект",74957348103,"neberitrubku.ru","Примоколект (Нежелательный звонок);Злонамеренный вызов;Сборщик задолженностей;Колл-центр;Колл-центр;Нежелательный звонок;банк (Сборщик задолженностей);Злонамеренный вызов;Сборщик задолженностей;Финансовые услуги;коллекторы (Сборщик задолженностей);Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей;примаколлект, вежлево общаются, не бойтесь брать трубку. (Сборщик задолженностей);Сборщик задолженностей;Коллекторы (Сборщик задолженностей);Сборщик задолженностей;Факс-машина;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей"
"1x Немой звонок","",79218589190,"neberitrubku.ru","Немой звонок"
"68x Сборщик задолженностей;21x Злонамеренный вызов;14x Колл-центр;3x Финансовые услуги;3x Нежелательный звонок;2x Телефонное мошенничество;1x Факс-машина;1x Немой звонок","Звонят по ночам до дурного пока не разбудят соседей через три этажа и спрашивают какого-то ""Васю Пупкина""!;коллекторы;коллекторы;коллекторы;нежелательный звонок;не брать не стоит;коллекторы;примоколлект;задолбали. нарушают 230 фз;коллекторы;не брать коллекторы;При мо каллы. Давно не звонили. .. Походу теперь опять  за долбят;каллы.;примколлект;коллекторы;кредитный инспектор;сборщик долгов;каллы примколлект, звонят не с фиксированного (стационарного) номера телефона, нарушая ФЗ - 230 от 03.07.2016 г.;Примоколлект денег хотят;Звонят, говорят им не на что есть, просят денег;глухие звонки;коллекторы;Примакаллект;примоколлект. любители страшилки почтой присылать.;примколлект;не знаю кто;Примоколект, денег хотят, звонят вечером;примоколлект;сборщик задолжностей;коллекторы",74957348103,"neberitrubku.ru","Сборщик задолженностей;Злонамеренный вызов;Финансовые услуги;Злонамеренный вызов;Сборщик задолженностей;Колл-центр;Финансовые услуги;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Колл-центр;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов;Попрошайки (Колл-центр);Сборщик задолженностей;Сборщик задолженностей;Колл-центр;Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;прима колектор (Колл-центр);Сборщик задолженностей"
"68x Сборщик задолженностей;21x Злонамеренный вызов;14x Колл-центр;3x Финансовые услуги;3x Нежелательный звонок;2x Телефонное мошенничество;1x Факс-машина;1x Немой звонок","Звонят и ищут какую-то девицу);Позвонили отвечать не стал",74957348103,"neberitrubku.ru","ПримоКолллект (Сборщик задолженностей);ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ИСПЫТАНИЙ АВТОМОБИЛЬНОЙ И ТРАКТОРНОЙ ТЕХНИКИ"" (Колл-центр)"
"1x Колл-центр;1x Злонамеренный вызов;1x Сборщик задолженностей","4кккккккуккк;коллекторы;СМС финанс или вивус;Коллекторы;СМС финанс",79811775007,"neberitrubku.ru","Колл-центр;Нежелательный звонок;Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов;Колл-центр"
"3x Сборщик задолженностей;1x Злонамеренный вызов","втб  или сбербанк;Коллекторы из вид24;коллекторы;сборщик задолженности;ВТБ или сбер;Втб24 звонят",79629010009,"neberitrubku.ru","Нежелательный звонок;Втб24 (Злонамеренный вызов);Сборщик задолженностей;Нежелательный звонок;Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов"
"2x Компания;1x Другое;1x Сервис","Семейный доктор поликлиника;отличное обслуживание;коллцентр сети клиник семейный доктор;Семейный доктор поликлиника;Семейный доктор;Семейный доктор;клиника семейный доктор, контроль качества и новости о новых услугах;Ни одной строчки об этом номере я не нашёл во всезнающем интернете… Может быть какая-нибудь информация найдётся на этом сайте? Уже несколько номеров я здесь обнаружил.",74957832003,"neberitrubku.ru","Компания;Компания;Колл-центр;Компания;Сервис;Компания;Компания;Другое"
"1x Сборщик задолженностей","Альфа",78632078530,"neberitrubku.ru","Сборщик задолженностей"
"2x Телемаркетер;1x Колл-центр","центр диетологии;Рекламируют товары.;Косметологическая клиника",79284012163,"neberitrubku.ru","Колл-центр;Телемаркетер;Телемаркетер"
"1x Колл-центр;1x Немой звонок","кредиты и займы;Звонят и сбрасывают.;предлагают кредиты",79231912328,"neberitrubku.ru","Колл-центр;Немой звонок;Колл-центр"
"1x Сборщик задолженностей","",79205882263,"neberitrubku.ru","Сборщик задолженностей"
"1x Нежелательный звонок;1x Сборщик задолженностей","коллекторы;коллекторы;коллекторы колибри",79504357442,"neberitrubku.ru","Финансовые услуги;Сборщик задолженностей;Нежелательный звонок"
"1x Сборщик задолженностей;1x Компания","задолженность дом ру;дом ру задолженность",79247111148,"neberitrubku.ru","Компания;Сборщик задолженностей"
"1x Сборщик задолженностей","коллектор;Звонят в выходные дни,вымогают якобы за чужие долги, которых не существует! Звонят за знакомых! Берут данные с банка, и вымогают!;коллектор;Восточный экспресс банк",79630752660,"neberitrubku.ru","коллектор (Колл-центр);Обязывают выплатить несуществующий долг (Сборщик задолженностей);Немой звонок;Сборщик задолженностей"
"3x Сборщик задолженностей","Аккуратнее мошенники!!! +7903 52335046 .Женский голос представился от СИТИ бАнк .Сообщил о кредитной задолжености , которой у меня в поминенет ,и просил связаться по телефону 88007006865;Незаконным способом добывают номера телефонов друзей и знакомых по соцсетям  должников, а потом беспокоят звонками посторонних людей.",78007006865,"neberitrubku.ru","+790335235046 женский голоспредставился от СИТИ бАНК (Сборщик задолженностей);Сборщик задолженностей;OOO ""РуссколлекторР"" (Сборщик задолженностей)"
"1x Финансовые услуги;1x Сборщик задолженностей;1x Злонамеренный вызов","константа;Коллекторы;коллекторы;звонят коллекторы;сборщики долгов;сборщик долгов;коллектопы",78126709986,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Финансовые услуги;Злонамеренный вызов;Сборщик задолженностей;Финансовые услуги"
"4x Колл-центр;2x Компания;2x Телемаркетер;1x Сервис","продажа квартир;Звонила узнать стоимость квартиры. Теперь звонят очень часто. по несколько раз в день, разные сотрудники, с разных объектов. Им отвечала, что не собираюсь покупать. Бесполезно, звонят по пять раз в неделю, даже в выходные.;урбан групп;Предлагают купить недвижимость;Предлагают купить квартиру;Предлагают купить ...;Урбан Групп, предлагает настойчиво купить квартиру;Убран груп, квартиры для жизни.;риэлторы;подбор жилья;Представляются как Урбан групп. Предлагают купить у них квартиры.;Навязывают покупку квартир;Застройщик Урбан Групп;Агентство недвижимости;не спам. интересные предложения",74952258225,"neberitrubku.ru","Колл-центр;Нежелательный звонок;Компания;Колл-центр;Застройщик Урбан Групп (Телемаркетер);Нежелательный звонок;Компания;Колл-центр;Колл-центр;Телемаркетер;Телемаркетер;Колл-центр;Компания;Сервис;Колл-центр"
"4x Телемаркетер;1x Финансовые услуги;1x Нежелательный звонок","ростендер компания;ростендер фирма;Сайт госзакупок. менеджеры;ростендер;ростендер;ростендер",74955404190,"neberitrubku.ru","Телемаркетер;Нежелательный звонок;Ростендер (Телемаркетер);Финансовые услуги;Телемаркетер;Телемаркетер"
"2x Колл-центр","Мед.центр предлагает свои услуги. Сказали, что номер взяли из единой базы мед.центров. wtf??;Очередное Дешели хочет меня сделать красивой;представляются медицинским центром, дальше я не слушаю - отправляю подальше. Возмутительно, что звонят в десять вечера, когда люди могут уже спать;Очередной салон чего-то там красоты",79299087085,"neberitrubku.ru","Колл-центр;Колл-центр;Колл-центр;Колл-центр"
"4x Колл-центр;1x Компания;1x Нежелательный звонок","Ничего не слышно, что он там говорил;growfood.pro, звонят о продлении подписки;Звонили из GrowFood. Для уточнения параметров заказа после оформления на сайте;GrowFood, звонят только если вы уже делали заказ;гроу фуд еда;Названивают хотя были посланы **** ещё в прошлом звонке;гроу фуд доставка еды;Grow food доставка еды",78123325279,"neberitrubku.ru","Человека не было слышно. Связь отвратительная. Нихрена не слышно (Сервис);growfood (Компания);Колл-центр;GrowFood (Компания);Колл-центр;Колл-центр;Нежелательный звонок;Компания;Колл-центр"
"1x Нежелательный звонок","Нежелательный звонок, неизвестный мне человек звонит, с целью встретится, я этого не хочу!",79513197683,"neberitrubku.ru","Нежелательный звонок"
"5x Немой звонок;2x Колл-центр;2x Соцопрос;1x Нежелательный звонок;1x Телефонное мошенничество","Якобы опрос о работе сотовой связи, но вервый вопрос был о моём возрасте в каком диапазоне от18-40 лет,после этого я сбросил звонок явно развод.;прозвон и тишина;звонят и сбрасывают;наконуне смс от АСД, а после вот этот номер. Было дважды;Звонят с +7 499 3009773, +7 499 300 9755 второй день. Пару вызовов и сбрасывают.;Достали!!!!!;не берите трубку. какая то служба;Сбрасывается;* звонят и бросают",74993009773,"neberitrubku.ru","опрос по теме сотовой связи (Соцопрос);просто опрос глупый (Колл-центр);Соцопрос;Немой звонок;Немой звонок;Колл-центр;Немой звонок;Телефонное мошенничество;Нежелательный звонок;Немой звонок;Немой звонок"
"2x Сервис;1x Другое","автоответчик такси;такси ""Ангел"" Одинцово;""Ангел"" такси. Одинцово",79686541694,"neberitrubku.ru","Сервис;Сервис;Другое"
"1x Сборщик задолженностей;1x Телемаркетер;1x Колл-центр","Предлагали мед. услуги, вежливо сказал нет, и отправил в черный список.;медицинский центр;Разводят на деньги в медцентре;коллекторы",79312035469,"neberitrubku.ru","МЕДИЦИНСКИЙ ЦЕНТР (Колл-центр);Колл-центр;Телемаркетер;Сборщик задолженностей"
"1x Колл-центр","фитнес какой то",79923163858,"neberitrubku.ru","Колл-центр"
"1x Компания","БКС Брянские кабельные сети;БКС Брянск",74832595000,"neberitrubku.ru","Телемаркетер;Компания"
"1x Сервис","Такси мотор",79307422232,"neberitrubku.ru","Сервис"
"1x Финансовые услуги;1x Нежелательный звонок","ошибочно звонят по чужому долгу;навязывают микрозайм",79263734308,"neberitrubku.ru","Немой звонок;Мошенники,не перезванивать (Финансовые услуги);Нежелательный звонок;Финансовые услуги"
"1x Колл-центр","Тойота центр Краснодар",78612141020,"neberitrubku.ru","Колл-центр"
"2x Сборщик задолженностей","с банка звонят;коллекторы",79063589817,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей"
"1x Злонамеренный вызов","",73522601077,"neberitrubku.ru","Немой звонок;Злонамеренный вызов"
"1x Злонамеренный вызов","авангард банк",78632835003,"neberitrubku.ru","Злонамеренный вызов"
"3x Сборщик задолженностей","восточный экспресс;задолбал по чужому долгу;Восточный экспресс банк",79609698662,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей"
"3x Злонамеренный вызов;1x Нежелательный звонок","эус - меус;не Мой звонок ккккк????;наивные ребята с эос;эос коллекторы;Коллекторы достают;эос заколебали;ЭОС коллекторы;Эос наяривает.....;злодеи коллекторы;сборщик задолженности;сборщик задолженности;коллектор эос;коллекторы;Заколебали системой;эос коллекторы;злономеренный звонок;Это **** коллекторы, вымогают деньги",79266016230,"neberitrubku.ru","Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей;эос (Сборщик задолженностей);Злонамеренный вызов;Злонамеренный вызов;Сборщик задолженностей;Злонамеренный вызов;Колл-центр;Сборщик задолженностей;Злонамеренный вызов;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Нежелательный звонок;Злонамеренный вызов;Злонамеренный вызов;ЭОС бандиты вымогатели (Злонамеренный вызов)"
"10x Сборщик задолженностей;4x Нежелательный звонок;1x Колл-центр;1x Телемаркетер","сборщик задолженности;коолекторы;не брать трубку;не брать не брать;Тинькофф феникс каллы;коллекторы;Пятухи-кукаректоры от жадного глупого дурачка олежки тинькова.;Мерзавцы из тиньковской лавочки феникс. Представляются вымышленными именами, врут, разводят. Общение не имеет смысла.;сборщик задолженности;тинькофф колл;коллекторы;Феникс коллекторы;Сб.задолжностей;коллекторы;феникс фууу;Тинькофф банк;КОЛЕКТОРЫ-ДОЛБОДЯТЛЫ из Феникса (Тинькофф);феникс пеникс;кал обыкновенный;феникс Тиньк...овцы);коллектор тинькофф;сборщик долгов;коллекторы фасп;Феникс Тинькоф;коллекторы;Мозги песочат, представляясь экспертами судебно-экспертного отдела.;Русский стандарт достал;коллекторы",79261162734,"neberitrubku.ru","Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Нежелательный звонок;Сборщик задолженностей;Моральные **** (Сборщик задолженностей);Злонамеренный вызов;Колл-центр;Нежелательный звонок;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Сборщик задолженностей;Нежелательный звонок;Сборщик задолженностей;Злонамеренный вызов;Злонамеренный вызов;Нежелательный звонок;Сборщик задолженностей;Сборщик задолженностей;Злонамеренный вызов;Нежелательный звонок;Сборщик задолженностей;Сборщик задолженностей;Нежелательный звонок;Феникс (Тиньк-офф) (Сборщик задолженностей);Нежелательный звонок;Сборщик задолженностей"
